County,TDOC #,TDOC %,Backup #,Backup %,Local #,Local %,Systemwide #,Systemwide %
Anderson,130,0.70%,68,1.60%,3,0.20%,201,0.80%
Bedford,244,1.30%,60,1.40%,3,0.20%,307,1.20%
Benton,45,0.20%,7,0.20%,1,0.10%,53,0.20%
Bledsoe,17,0.10%,7,0.20%,1,0.10%,25,0.10%
Blount,275,1.40%,58,1.40%,9,0.50%,342,1.30%
Bradley,304,1.60%,108,2.60%,8,0.40%,420,1.60%
Campbell,126,0.70%,106,2.60%,5,0.30%,237,0.90%
Cannon,38,0.20%,8,0.20%,0,0.00%,46,0.20%
Carroll,63,0.30%,36,0.90%,5,0.30%,104,0.40%
Carter,181,1.00%,43,1.00%,16,0.90%,240,0.90%
Cheatham,89,0.50%,19,0.50%,5,0.30%,113,0.40%
Chester,61,0.30%,25,0.60%,0,0.00%,86,0.30%
Claiborne,110,0.60%,40,1.00%,1,0.10%,151,0.60%
Clay,11,0.10%,16,0.40%,0,0.00%,27,0.10%
Cocke,109,0.60%,30,0.70%,4,0.20%,143,0.60%
Coffee,166,0.90%,45,1.10%,6,0.30%,217,0.80%
Crockett,42,0.20%,14,0.30%,1,0.10%,57,0.20%
Cumberland,183,1.00%,70,1.70%,1,0.10%,254,1.00%
Davidson,2080,10.90%,129,3.10%,276,15.30%,2485,9.70%
Decatur,43,0.20%,9,0.20%,3,0.20%,55,0.20%
Dekalb,48,0.30%,21,0.50%,3,0.20%,72,0.30%
Dickson,157,0.80%,28,0.70%,3,0.20%,188,0.70%
Dyer,103,0.50%,60,1.40%,1,0.10%,164,0.60%
Fayette,66,0.30%,12,0.30%,4,0.20%,82,0.30%
Fentress,53,0.30%,38,0.90%,0,0.00%,91,0.40%
Franklin,123,0.60%,18,0.40%,7,0.40%,148,0.60%
Gibson,109,0.60%,25,0.60%,1,0.10%,135,0.50%
Giles,141,0.70%,12,0.30%,0,0.00%,153,0.60%
Grainger,67,0.40%,22,0.50%,3,0.20%,92,0.40%
Greene,133,0.70%,62,1.50%,5,0.30%,200,0.80%
Grundy,42,0.20%,11,0.30%,6,0.30%,59,0.20%
Hamblen,113,0.60%,49,1.20%,18,1.00%,180,0.70%
Hamilton,553,2.90%,97,2.30%,7,0.40%,657,2.60%
Hancock,16,0.10%,8,0.20%,4,0.20%,28,0.10%
Hardeman,96,0.50%,11,0.30%,5,0.30%,112,0.40%
Hardin,114,0.60%,41,1.00%,5,0.30%,160,0.60%
Hawkins,88,0.50%,36,0.90%,1,0.10%,125,0.50%
Haywood,46,0.20%,10,0.20%,0,0.00%,56,0.20%
Henderson,165,0.90%,64,1.50%,2,0.10%,231,0.90%
Henry,70,0.40%,39,0.90%,3,0.20%,112,0.40%
Hickman,46,0.20%,6,0.10%,2,0.10%,54,0.20%
Houston,18,0.10%,12,0.30%,2,0.10%,32,0.10%
Humphreys,64,0.30%,17,0.40%,4,0.20%,85,0.30%
Jackson,37,0.20%,12,0.30%,2,0.10%,51,0.20%
Jefferson,146,0.80%,39,0.90%,0,0.00%,185,0.70%
Johnson,52,0.30%,11,0.30%,3,0.20%,66,0.30%
Knox,1750,9.20%,172,4.10%,10,0.60%,1932,7.60%
Lake,29,0.20%,10,0.20%,1,0.10%,40,0.20%
Lauderdale,136,0.70%,29,0.70%,9,0.50%,174,0.70%
Lawrence,136,0.70%,36,0.90%,1,0.10%,173,0.70%
Lewis,36,0.20%,6,0.10%,3,0.20%,45,0.20%
Lincoln,157,0.80%,19,0.50%,0,0.00%,176,0.70%
Loudon,89,0.50%,41,1.00%,7,0.40%,137,0.50%
McMinn,164,0.90%,53,1.30%,1,0.10%,218,0.90%
McNairy,67,0.40%,18,0.40%,5,0.30%,90,0.40%
Macon,72,0.40%,37,0.90%,1,0.10%,110,0.40%
Madison,709,3.70%,67,1.60%,3,0.20%,779,3.10%
Marion,102,0.50%,13,0.30%,5,0.30%,120,0.50%
Marshall,196,1.00%,15,0.40%,1,0.10%,212,0.80%
Maury,328,1.70%,44,1.10%,2,0.10%,374,1.50%
Meigs,10,0.10%,16,0.40%,1,0.10%,27,0.10%
Monroe,157,0.80%,55,1.30%,5,0.30%,217,0.80%
Montgomery,471,2.50%,50,1.20%,5,0.30%,526,2.10%
Moore,16,0.10%,7,0.20%,0,0.00%,23,0.10%
Morgan,44,0.20%,15,0.40%,1,0.10%,60,0.20%
Obion,57,0.30%,25,0.60%,0,0.00%,82,0.30%
Overton,47,0.20%,37,0.90%,3,0.20%,87,0.30%
Perry,14,0.10%,7,0.20%,2,0.10%,23,0.10%
Pickett,9,0.00%,8,0.20%,0,0.00%,17,0.10%
Polk,32,0.20%,38,0.90%,2,0.10%,72,0.30%
Putman,217,1.10%,146,3.50%,3,0.20%,366,1.40%
Rhea,71,0.40%,59,1.40%,9,0.50%,139,0.50%
Roane,142,0.70%,46,1.10%,2,0.10%,190,0.70%
Robertson,130,0.70%,57,1.40%,13,0.70%,200,0.80%
Rutherford,788,4.10%,127,3.10%,11,0.60%,926,3.60%
Scott,58,0.30%,55,1.30%,1,0.10%,114,0.40%
Sequatchie,42,0.20%,22,0.50%,2,0.10%,66,0.30%
Sevier,340,1.80%,85,2.00%,13,0.70%,438,1.70%
Shelby,2997,15.80%,273,6.60%,609,33.70%,3879,15.20%
Smith,45,0.20%,9,0.20%,1,0.10%,55,0.20%
Stewart,22,0.10%,6,0.10%,0,0.00%,28,0.10%
Sullivan,590,3.10%,177,4.30%,16,0.90%,783,3.10%
Sumner,442,2.30%,124,3.00%,22,1.20%,588,2.30%
Tipton,180,0.90%,41,1.00%,2,0.10%,223,0.90%
Trousdale,26,0.10%,11,0.30%,0,0.00%,37,0.10%
Unicoi,29,0.20%,31,0.70%,6,0.30%,66,0.30%
Union,68,0.40%,29,0.70%,2,0.10%,99,0.40%
Van Buren,8,0.00%,5,0.10%,0,0.00%,13,0.10%
Warrren,124,0.70%,37,0.90%,8,0.40%,169,0.70%
Washington,191,1.00%,129,3.10%,18,1.00%,338,1.30%
Wayne,66,0.30%,32,0.80%,0,0.00%,98,0.40%
Weakley,40,0.20%,21,0.50%,1,0.10%,62,0.20%
White,65,0.30%,37,0.90%,1,0.10%,103,0.40%
Williamson,195,1.00%,45,1.10%,3,0.20%,243,1.00%
Wilson,315,1.70%,69,1.70%,1,0.10%,385,1.50%
Unknown,25,0.10%,0,0.00%,555,30.70%,580,2.30%
Total,"19,027",100.00%,"4,150",100.00%,"1,806",100.00%,"24,983",97.90%
