Table 10,,,,,,,,,,,,,,,
TENNESSEE,,,,,,,,,,,,,,,
Offenses Known to Law Enforcement,,,,,,,,,,,,,,,
"by Metropolitan and Nonmetropolitan Counties, 2019",,,,,,,,,,,,,,,
[The data shown in this table do not reflect county totals but are the number of offenses reported by the sheriff's office or county police department.],,,,,,,,,,,,,,,
Metropolitan/Nonmetropolitan,County,"Violent
crime","Murder and
nonnegligent
manslaughter",Rape1,Robbery,"Aggravated
assault","Property
crime",Burglary,"Larceny-
theft","Motor
vehicle
theft",Arson,,,,
Metropolitan Counties,Anderson,144,0,11,4,129,472,136,253,83,12,,,,
,Blount,322,0,55,14,253,"1,103",256,711,136,3,,,,
,Bradley,205,1,15,13,176,808,190,508,110,1,,,,
,Campbell,62,0,22,1,39,335,106,178,51,2,,,,
,Cannon,12,0,1,0,11,96,42,27,27,1,,,,
,Carter,63,0,3,3,57,334,67,236,31,0,,,,
,Cheatham,87,1,6,2,78,280,57,174,49,2,,,,
,Chester,25,1,6,0,18,79,30,37,12,0,,,,
,Crockett,29,0,0,1,28,106,35,57,14,0,,,,
,Dickson,121,0,15,4,102,334,88,195,51,0,,,,
,Fayette,55,1,1,4,49,209,60,121,28,0,,,,
,Gibson,56,2,7,3,44,160,51,88,21,0,,,,
,Grainger,43,0,3,1,39,160,38,104,18,0,,,,
,Hamblen,120,1,11,8,100,462,100,288,74,5,,,,
,Hartsville/Trousdale,30,0,5,1,24,142,24,105,13,0,,,,
,Hawkins,77,2,6,2,67,587,163,335,89,3,,,,
,Jefferson,97,1,14,0,82,428,135,230,63,1,,,,
,Knox,577,2,62,30,483,"3,413",588,"2,331",494,15,,,,
,Loudon,72,3,3,3,63,375,79,243,53,1,,,,
,Macon,41,0,0,0,41,159,54,91,14,1,,,,
,Madison,103,0,4,12,87,380,73,251,56,0,,,,
,Marion,59,0,3,1,55,220,43,135,42,3,,,,
,Maury,140,1,24,1,114,431,94,260,77,3,,,,
,Montgomery,104,2,10,1,91,571,136,378,57,2,,,,
,Morgan,40,0,3,1,36,320,100,168,52,1,,,,
,Polk,25,0,1,2,22,311,61,192,58,3,,,,
,Roane,63,2,5,1,55,235,70,123,42,1,,,,
,Robertson,75,1,6,1,67,243,48,164,31,2,,,,
,Rutherford,205,1,19,16,169,746,153,506,87,10,,,,
,Sequatchie,31,0,1,1,29,153,40,84,29,3,,,,
,Shelby,569,3,34,72,460,"2,473",551,"1,703",219,11,,,,
,Smith,43,0,7,1,35,148,54,82,12,0,,,,
,Stewart,18,0,3,0,15,92,35,39,18,0,,,,
,Sullivan,228,5,28,7,188,"1,043",225,656,162,12,,,,
,Sumner,118,9,11,4,94,404,85,267,52,4,,,,
,Tipton,123,0,11,3,109,465,131,273,61,1,,,,
,Unicoi,21,0,0,0,21,116,31,75,10,1,,,,
,Union,22,1,4,0,17,204,63,116,25,0,,,,
,Washington,159,1,10,4,144,762,182,446,134,3,,,,
,Williamson,119,2,14,2,101,289,66,196,27,4,,,,
,Wilson,85,0,2,4,79,555,105,384,66,1,,,,
Nonmetropolitan Counties,Bedford,75,0,8,0,67,250,59,165,26,3,,,,
,Benton,18,0,6,1,11,114,47,50,17,0,,,,
,Bledsoe,11,0,0,0,11,62,16,28,18,1,,,,
,Carroll,44,1,7,2,34,154,63,73,18,0,,,,
,Claiborne,58,4,3,2,49,283,80,162,41,5,,,,
,Clay,14,0,0,2,12,40,18,20,2,0,,,,
,Coffee,87,0,6,3,78,403,102,261,40,2,,,,
,Cumberland,42,1,1,4,36,737,198,440,99,2,,,,
,Decatur,30,0,3,0,27,100,43,43,14,0,,,,
,DeKalb,17,1,1,0,15,117,34,68,15,2,,,,
,Dyer,18,0,2,0,16,184,51,112,21,0,,,,
,Fentress,27,1,3,0,23,189,46,120,23,3,,,,
,Franklin,98,3,8,1,86,238,41,163,34,0,,,,
,Giles,51,1,7,2,41,184,44,114,26,3,,,,
,Greene,168,0,8,5,155,888,258,487,143,12,,,,
,Grundy,77,2,7,0,68,245,47,149,49,4,,,,
,Hancock,21,0,3,0,18,110,24,74,12,0,,,,
,Hardeman,46,0,2,3,41,178,57,92,29,1,,,,
,Hardin,35,1,4,2,28,348,121,181,46,1,,,,
,Haywood,36,1,2,1,32,133,47,64,22,1,,,,
,Henderson,83,0,9,2,72,295,87,161,47,2,,,,
,Henry,47,0,8,1,38,298,89,168,41,3,,,,
,Hickman,84,0,8,1,75,394,108,201,85,0,,,,
,Houston,23,0,0,0,23,75,21,48,6,0,,,,
,Humphreys,30,0,0,0,30,93,28,52,13,1,,,,
,Jackson,24,1,1,1,21,83,21,50,12,2,,,,
,Johnson,34,1,3,2,28,132,41,69,22,0,,,,
,Lake,4,0,1,0,3,25,9,12,4,0,,,,
,Lauderdale,45,2,3,1,39,192,68,104,20,3,,,,
,Lawrence,49,0,5,1,43,267,97,133,37,3,,,,
,Lewis,17,0,0,0,17,71,24,40,7,2,,,,
,Lincoln,62,0,7,2,53,286,101,152,33,1,,,,
,Marshall,28,0,0,1,27,72,10,43,19,0,,,,
,McMinn,93,1,8,5,79,549,180,255,114,5,,,,
,McNairy,55,1,5,1,48,276,93,145,38,4,,,,
,Meigs,61,0,6,4,51,284,78,157,49,7,,,,
,Monroe,234,0,10,7,217,873,284,465,124,6,,,,
,Moore,7,0,2,0,5,58,4,51,3,0,,,,
,Obion,34,0,1,1,32,177,35,114,28,1,,,,
,Overton,13,0,1,0,12,135,16,90,29,1,,,,
,Perry,13,0,0,0,13,59,14,40,5,2,,,,
,Pickett,8,0,2,0,6,28,4,22,2,0,,,,
,Putnam,85,0,13,0,72,518,136,317,65,5,,,,
,Rhea,67,0,5,2,60,191,57,112,22,0,,,,
,Scott,27,1,2,0,24,161,104,41,16,0,,,,
,Sevier,153,0,19,10,124,836,203,460,173,1,,,,
,Van Buren,3,0,0,0,3,30,3,20,7,0,,,,
,Wayne,14,2,0,0,12,93,21,54,18,1,,,,
,Weakley,27,0,7,1,19,116,45,53,18,0,,,,
,White,55,0,2,5,48,251,45,165,41,8,,,,
1 The figures shown in this column for the offense of rape were reported using only the revised Uniform Crime Reporting definition of rape. See the data declaration for further explanation. ,,,,,,,,,,,,,,,
